,ticker,hurst_exponent,althurstlst,number_of_days
0,BTCUSDT,0.7950091664857438,0.5080791302761299,853
1,TOMOBTC,0.6908589436623562,0.26135768016732897,116
2,ATOMBTC,0.8878619833732887,0.48362501286899673,233
3,MATICBTC,0.8824120504965131,0.20887676651288745,236
4,BNBBTC,1.3216182021518603,0.5213411284617977,887
5,ETHBTC,0.7759138926975545,0.5333985233455216,887
6,BTCUSDC,0.8638035097339171,0.5374007830362112,368
7,LINKBTC,0.9013068874172453,0.35287347342469383,811
8,STRATBTC,0.9873867585404982,0.4261202649615869,825
9,XRPBTC,0.921913868570954,0.398284097134316,776
10,XTZBTC,0.7719050220124394,,85
11,ENJBTC,0.995946431149278,0.4828656348226073,775
12,WAVESBTC,0.8868234721436866,0.5327214547892006,733
13,XMRBTC,0.7454331656168255,0.38355455457698745,768
14,VETBTC,0.830614293456429,0.34605003249884414,511
15,THETABTC,0.675813406032853,0.48985520259421006,568
16,ZECBTC,0.9188774358275511,0.2276139965233131,764
17,BTCBUSD,0.5219561675600891,,90
18,TROYBTC,0.30499941862861063,,13
19,EOSBTC,1.1118200763178434,0.543254943163193,798
20,KAVABTC,0.6155767912200459,,54
21,BCHBTC,0.20977678563375243,,20
22,LTCBTC,0.6500760760299329,0.4666746930364006,887
23,DATABTC,0.9054275202480337,0.4288901205086292,558
24,INSBTC,1.164073615532739,0.4304554590174281,702
25,BATBTC,0.7968722844452445,0.46198232945715567,765
26,BTCTUSD,0.7699256626312367,0.52865982577343,281
27,BTCPAX,0.8175773983446764,0.5346204872145185,384
28,RVNBTC,0.7318229103245978,0.5003482960650518,432
29,ADABTC,0.9248391121001865,0.2886217911108008,748
30,NEOBTC,0.8485457888400942,0.44605113958264986,887
31,WABIBTC,1.0609688658013796,0.3105008851473324,736
32,TRXBTC,1.2583421742891276,0.40584583011346104,778
33,FETBTC,1.3308031271317102,0.40032873345006653,293
34,XVGBTC,1.0704835722332222,0.3512180074394414,807
35,ALGOBTC,1.208861770935169,0.3876420180566367,179
36,VITEBTC,0.18465631091473833,,5
37,STXBTC,1.0776509328774022,,54
38,MITHBTC,1.2976923424615328,0.40923654820511335,398
39,ONEBTC,1.0036504134048083,0.3963678908598766,200
40,ARPABTC,1.0336994576694505,,42
41,ERDBTC,0.7720299187648251,0.4158061022217473,167
42,FTMBTC,0.7636194469675659,0.23816248751211133,190
43,DASHBTC,0.8366999467140064,0.27214288613493076,789
44,BEAMBTC,0.8144236348436015,,88
45,AIONBTC,1.3464939885696077,0.3389003517571251,727
46,TNTBTC,0.8585387358960248,0.2867284111349322,756
47,VIBBTC,0.9158532853345835,0.27792280822071536,779
48,LSKBTC,1.084247210334751,0.39295667664690126,756
49,CHZBTC,0.8010435428073271,-0.2539932185300058,103
50,WPRBTC,1.2198972817916116,0.5422638512492421,629
51,XLMBTC,0.8669897103696912,0.2753803265814441,740
52,RENBTC,0.6616348061485889,0.3886309344675094,377
53,KNCBTC,0.964518430812881,0.38660175706953204,813
54,ARNBTC,0.8520485369832019,0.2761643000402472,763
55,DOCKBTC,0.8851676650177821,0.31450817595424424,506
56,QTUMBTC,0.8969836116066847,0.4114470206799732,835
57,NANOBTC,1.0840455544346723,0.3039331938970954,684
58,IOTABTC,0.84272479396932,0.42850576922151307,809
59,GOBTC,1.0465111725481342,0.3488318173893957,462
60,LOOMBTC,1.1222039399061379,0.4841599415094428,595
61,IOSTBTC,1.0220729179600043,0.4267941437088825,693
62,SNGLSBTC,1.0909218566989933,0.3321593329330556,820
63,ONTBTC,0.9566498130161197,0.5559186491500343,650
64,RLCBTC,0.9389849492951161,0.5180780850452155,705
65,DCRBTC,0.8811891718782856,0.43866359708046543,420
66,STEEMBTC,1.2278303784874471,0.3876010124257161,685
67,ICXBTC,1.1638708705218135,0.26842431528246125,730
68,ZRXBTC,0.9180258738273847,0.45575970373244074,826
69,QSPBTC,1.079691609065704,0.3259214710722708,757
70,ZENBTC,1.0195475481786749,0.3560903787016513,574
71,ENGBTC,0.9250548876271503,0.46193347934932316,796
72,ETCBTC,0.7145940709749886,0.271344219455413,797
73,NKNBTC,0.5731322257773768,,68
74,ZILBTC,1.2140798876955616,0.4985973933564843,653
75,REPBTC,0.8986529196423079,0.5543364119917574,586
76,FUELBTC,1.2266255256326923,0.2945747748724482,755
77,WTCBTC,1.0632717926551538,0.4220789410875578,843
78,BQXBTC,1.2322523951663937,0.4446244096698993,817
79,HBARBTC,0.6366433196956572,,80
80,POWRBTC,0.9436760018444501,0.26255171022654966,777
81,MANABTC,0.9777131671188959,0.2988332007095913,754
82,CELRBTC,1.1517163640444188,0.31411443165475855,268
83,FUNBTC,1.0753093094114181,0.3943998293364612,811
84,MTLBTC,1.1782939339789116,0.2915258245168686,800
85,IOTXBTC,1.0864414864312628,0.47104973873816375,565
86,BANDBTC,0.8071380653614328,,91
87,POLYBTC,1.0062214453677931,0.4088792065471621,505
88,DOGEBTC,0.5846983918645096,0.1943315211476051,166
89,CNDBTC,1.1180038689904184,0.2519979329576894,737
90,LENDBTC,1.2048035708237799,0.20413891390527167,736
